heuristic,map_id,start_pos,end_pos,path_length,total_cost,execution_time,path_found,nodes_explored,heuristic_calls
Euclidea,703326,"(81, 94)","(135, 97)",55,165.85547548137444,0.03300356864929199,True,1371,1484
Manhattan,703326,"(81, 94)","(135, 97)",55,165.85547548137444,0.02899909019470215,True,1293,1401
Chebyshev,703326,"(81, 94)","(135, 97)",55,165.85547548137444,0.03000330924987793,True,1426,1553
Euclidea,703326,"(63, 202)","(53, 148)",62,269.1306135159043,0.05903768539428711,True,2657,2725
Manhattan,703326,"(63, 202)","(53, 148)",62,269.1306135159043,0.05330491065979004,True,2626,2738
Chebyshev,703326,"(63, 202)","(53, 148)",62,269.1306135159043,0.05427837371826172,True,2684,2740
Euclidea,703326,"(78, 181)","(44, 201)",0,inf,0.001999378204345703,False,60,60
Manhattan,703326,"(78, 181)","(44, 201)",0,inf,0.0010008811950683594,False,66,66
Chebyshev,703326,"(78, 181)","(44, 201)",0,inf,0.0009980201721191406,False,56,56
Euclidea,703326,"(153, 103)","(80, 171)",172,646.5659721756516,0.148773193359375,True,6772,6882
Manhattan,703326,"(153, 103)","(80, 171)",172,646.5659721756516,0.14499425888061523,True,7173,7292
Chebyshev,703326,"(153, 103)","(80, 171)",172,646.5659721756516,0.13530755043029785,True,6695,6799
Euclidea,703323,"(78, 182)","(283, 327)",0,inf,0.5937433242797852,False,25716,25716
Manhattan,703323,"(78, 182)","(283, 327)",0,inf,0.805767297744751,False,36980,36980
Chebyshev,703323,"(78, 182)","(283, 327)",0,inf,0.5477283000946045,False,25477,25477
Euclidea,703323,"(163, 196)","(63, 257)",151,298.56698643608917,0.13003039360046387,True,5440,5745
Manhattan,703323,"(163, 196)","(63, 257)",151,298.56698643608917,0.10781478881835938,True,4936,5168
Chebyshev,703323,"(163, 196)","(63, 257)",151,298.56698643608917,0.12739324569702148,True,6000,6270
Euclidea,703323,"(257, 175)","(257, 252)",118,296.6512600269709,0.16946029663085938,True,7384,7591
Manhattan,703323,"(257, 175)","(257, 252)",118,296.65126002697093,0.14414429664611816,True,6807,7070
Chebyshev,703323,"(257, 175)","(257, 252)",118,296.6512600269709,0.16192340850830078,True,7624,7785
